SpecificHeatCapacity_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,BCCvolume_padiff_composition_average,NdValence_composition_average,IonicRadii_composition_average,HeatCapacityMass_composition_average,MendeleevNumber_composition_average,IsFCC_composition_average,GSenergy_pa_composition_average,NUnfilled_composition_average,HHIr_composition_average,ElasticModulus_composition_average,ElectronAffinity_composition_average,valence_composition_average,BCCmagmom_composition_average,MiracleRadius_composition_average,BCCenergy_pa_composition_average,HeatFusion_composition_average,ThirdIonizationEnergy_composition_average
0.184,1883.665,413.21500000000003,0.0925,7.5,0.7050000000000001,0.0645,59.5,0.5,-6.782421902499999,3.0,500.0,229.15,146.37,5.0,0.0,139.5,-6.6381071,22.92,14.77
0.214,1568.165,358.865,0.0975,5.5,0.935,0.2135,39.0,0.5,-4.8371461925,5.0,1800.0,71.35,111.37,3.0,0.0,161.0,-4.76237517,11.97,10.26
0.203,1732.665,457.46500000000003,-0.20750000000000002,6.0,0.845,0.20350000000000001,55.0,0.5,-5.8778255825,4.5,1800.0,86.15,136.37,3.5,0.0,150.5,-5.825863845000001,16.775,11.495
0.647,1115.0,154.67,-0.95,0.0,1.0,0.647,7.0,1.0,-1.948329565,0.0,1500.0,21.0,-156.0,2.0,0.0,201.0,-1.92725921,8.54,50.908
0.441,1174.9650000000001,202.64999999999998,-0.54,5.0,1.075,0.441,36.0,1.0,-2.3568615625000002,0.5,1450.0,50.5,-15.149999999999999,2.0,0.0,172.5,-2.3236191899999996,9.92,42.869
0.4395,854.61,127.27,-0.39749999999999996,5.0,0.975,0.439,38.5,0.5,-1.380251895,0.0,1400.0,41.5,-78.0,2.0,0.0,179.0,-1.3337991249999999,7.375,44.194
0.456,1932.5,422.385,-0.475,2.0,0.8200000000000001,0.456,27.0,0.5,-6.0208255475,3.5,5150.0,62.5,-30.0,3.5,0.0,172.0,-6.01029037,19.27,37.974000000000004
0.47350000000000003,1457.0,273.985,-0.39249999999999996,0.5,1.01,0.47250000000000003,9.5,0.5,-4.20646467,4.5,2050.0,42.7,-78.0,2.5,0.0,190.0,-4.1337783649999995,9.965,35.714
0.4625,1621.5,372.585,-0.6975,1.0,0.9199999999999999,0.4625,25.5,0.5,-5.24714406,4.0,2050.0,57.5,-53.0,3.0,0.0,179.5,-5.19726704,14.77,36.949
0.385,1357.77,300.5,0.01,10.0,0.73,0.385,64.0,1.0,-3.68065482,1.0,1500.0,124.0,118.3,2.0,0.0,126.0,-3.64288728,13.6,36.83
